dong_name,gu_name,2007-12-31T15:00:00.000Z,2008-01-31T15:00:00.000Z,2008-02-29T15:00:00.000Z,2008-03-31T15:00:00.000Z,2008-04-30T15:00:00.000Z,2008-05-31T15:00:00.000Z,2008-06-30T15:00:00.000Z,2008-07-31T15:00:00.000Z,2008-08-31T15:00:00.000Z,2008-09-30T15:00:00.000Z,2008-10-31T15:00:00.000Z,2008-11-30T15:00:00.000Z,2008-12-31T15:00:00.000Z,2009-01-31T15:00:00.000Z,2009-02-28T15:00:00.000Z,2009-03-31T15:00:00.000Z,2009-04-30T15:00:00.000Z,2009-05-31T15:00:00.000Z,2009-06-30T15:00:00.000Z,2009-07-31T15:00:00.000Z,2009-08-31T15:00:00.000Z,2009-09-30T15:00:00.000Z,2009-10-31T15:00:00.000Z,2009-11-30T15:00:00.000Z,2009-12-31T15:00:00.000Z,2010-01-31T15:00:00.000Z,2010-02-28T15:00:00.000Z,2010-03-31T15:00:00.000Z,2010-04-30T15:00:00.000Z,2010-05-31T15:00:00.000Z,2010-06-30T15:00:00.000Z,2010-07-31T15:00:00.000Z,2010-08-31T15:00:00.000Z,2010-09-30T15:00:00.000Z,2010-10-31T15:00:00.000Z,2010-11-30T15:00:00.000Z,2010-12-31T15:00:00.000Z,2011-01-31T15:00:00.000Z,2011-02-28T15:00:00.000Z,2011-03-31T15:00:00.000Z,2011-04-30T15:00:00.000Z,2011-05-31T15:00:00.000Z,2011-06-30T15:00:00.000Z,2011-07-31T15:00:00.000Z,2011-08-31T15:00:00.000Z,2011-09-30T15:00:00.000Z,2011-10-31T15:00:00.000Z,2011-11-30T15:00:00.000Z,2011-12-31T15:00:00.000Z,2012-01-31T15:00:00.000Z,2012-02-29T15:00:00.000Z,2012-03-31T15:00:00.000Z,2012-04-30T15:00:00.000Z,2012-05-31T15:00:00.000Z,2012-06-30T15:00:00.000Z,2012-07-31T15:00:00.000Z,2012-08-31T15:00:00.000Z,2012-09-30T15:00:00.000Z,2012-10-31T15:00:00.000Z,2012-11-30T15:00:00.000Z,2012-12-31T15:00:00.000Z,2013-01-31T15:00:00.000Z,2013-02-28T15:00:00.000Z,2013-03-31T15:00:00.000Z,2013-04-30T15:00:00.000Z,2013-05-31T15:00:00.000Z,2013-06-30T15:00:00.000Z,2013-07-31T15:00:00.000Z,2013-08-31T15:00:00.000Z,2013-09-30T15:00:00.000Z,2013-10-31T15:00:00.000Z,2013-11-30T15:00:00.000Z,2013-12-31T15:00:00.000Z,2014-01-31T15:00:00.000Z,2014-02-28T15:00:00.000Z,2014-03-31T15:00:00.000Z,2014-04-30T15:00:00.000Z,2014-05-31T15:00:00.000Z,2014-06-30T15:00:00.000Z,2014-07-31T15:00:00.000Z,2014-08-31T15:00:00.000Z,2014-09-30T15:00:00.000Z,2014-10-31T15:00:00.000Z,2014-11-30T15:00:00.000Z,2014-12-31T15:00:00.000Z,2015-01-31T15:00:00.000Z,2015-02-28T15:00:00.000Z,2015-03-31T15:00:00.000Z,2015-04-30T15:00:00.000Z,2015-05-31T15:00:00.000Z,2015-06-30T15:00:00.000Z,2015-07-31T15:00:00.000Z,2015-08-31T15:00:00.000Z,2015-09-30T15:00:00.000Z,2015-10-31T15:00:00.000Z,2015-11-30T15:00:00.000Z,2015-12-31T15:00:00.000Z,2016-01-31T15:00:00.000Z,2016-02-29T15:00:00.000Z,2016-03-31T15:00:00.000Z,2016-04-30T15:00:00.000Z,2016-05-31T15:00:00.000Z,2016-06-30T15:00:00.000Z,2016-07-31T15:00:00.000Z,2016-08-31T15:00:00.000Z,2016-09-30T15:00:00.000Z,2016-10-31T15:00:00.000Z,2016-11-30T15:00:00.000Z,2016-12-31T15:00:00.000Z,2017-01-31T15:00:00.000Z,2017-02-28T15:00:00.000Z,2017-03-31T15:00:00.000Z,2017-04-30T15:00:00.000Z,2017-05-31T15:00:00.000Z,2017-06-30T15:00:00.000Z,2017-07-31T15:00:00.000Z,2017-08-31T15:00:00.000Z,2017-09-30T15:00:00.000Z,2017-10-31T15:00:00.000Z,2017-11-30T15:00:00.000Z,2017-12-31T15:00:00.000Z,2018-01-31T15:00:00.000Z,2018-02-28T15:00:00.000Z,2018-03-31T15:00:00.000Z,2018-04-30T15:00:00.000Z,2018-05-31T15:00:00.000Z,2018-06-30T15:00:00.000Z,2018-07-31T15:00:00.000Z,2018-08-31T15:00:00.000Z,2018-09-30T15:00:00.000Z,2018-10-31T15:00:00.000Z,2018-11-30T15:00:00.000Z,2018-12-31T15:00:00.000Z,2019-01-31T15:00:00.000Z,2019-02-28T15:00:00.000Z,2019-03-31T15:00:00.000Z,2019-04-30T15:00:00.000Z,2019-05-31T15:00:00.000Z,2019-06-30T15:00:00.000Z,2019-07-31T15:00:00.000Z,2019-08-31T15:00:00.000Z,2019-09-30T15:00:00.000Z,2019-10-31T15:00:00.000Z,2019-11-30T15:00:00.000Z,2019-12-31T15:00:00.000Z,2020-01-31T15:00:00.000Z,2020-02-29T15:00:00.000Z,2020-03-31T15:00:00.000Z,2020-04-30T15:00:00.000Z,2020-05-31T15:00:00.000Z,2020-06-30T15:00:00.000Z,2020-07-31T15:00:00.000Z,2020-08-31T15:00:00.000Z,2020-09-30T15:00:00.000Z,2020-10-31T15:00:00.000Z,2020-11-30T15:00:00.000Z,2020-12-31T15:00:00.000Z,2021-01-31T15:00:00.000Z,2021-02-28T15:00:00.000Z,2021-03-31T15:00:00.000Z,2021-04-30T15:00:00.000Z,2021-05-31T15:00:00.000Z,2021-06-30T15:00:00.000Z,2021-07-31T15:00:00.000Z,2021-08-31T15:00:00.000Z,2021-09-30T15:00:00.000Z,2021-10-31T15:00:00.000Z,2021-11-30T15:00:00.000Z,2021-12-31T15:00:00.000Z,2022-01-31T15:00:00.000Z,2022-02-28T15:00:00.000Z,2022-03-31T15:00:00.000Z,2022-04-30T15:00:00.000Z,2022-05-31T15:00:00.000Z,2022-06-30T15:00:00.000Z,2022-07-31T15:00:00.000Z,2022-08-31T15:00:00.000Z,2022-09-30T15:00:00.000Z,2022-10-31T15:00:00.000Z,2022-11-30T15:00:00.000Z,2022-12-31T15:00:00.000Z,2023-01-31T15:00:00.000Z,2023-02-28T15:00:00.000Z,2023-03-31T15:00:00.000Z,2023-04-30T15:00:00.000Z,2023-05-31T15:00:00.000Z,2023-06-30T15:00:00.000Z,2023-07-31T15:00:00.000Z,2023-08-31T15:00:00.000Z,2023-09-30T15:00:00.000Z,2023-10-31T15:00:00.000Z,2023-11-30T15:00:00.000Z,2023-12-31T15:00:00.000Z,2024-01-31T15:00:00.000Z,2024-02-29T15:00:00.000Z,2024-03-31T15:00:00.000Z,2024-04-30T15:00:00.000Z,2024-05-31T15:00:00.000Z,2024-06-30T15:00:00.000Z,2024-07-31T15:00:00.000Z
본동,동작구,1596.22,1611.93,1626.67,1638.45,1637.9,1630.27,1619.51,1614.53,1600.02,1583.33,1567.13,1548.38,1531.83,1564.36,1547.57,1557.6,1567.43,1582.94,1596.24,1620.79,1632.18,1620.74,1614.61,1600.66,1601.87,1603.42,1589.49,1573.04,1543.45,1535.84,1523.93,1512.01,1508.59,1499.72,1494.53,1518.34,1521.53,1508.22,1497.68,1509.8,1510.88,1506.79,1498.84,1487.55,1477.75,1470.91,1550.22,1562.29,1550.57,1568.86,1566.92,1569.15,1563.19,1546.88,1530.8,1511.82,1495.4,1494.83,1493.63,1468.63,1462.39,1461.89,1461.25,1457.39,1474.32,1479.45,1472.85,1479.95,1505.41,1526.61,1518.05,1521.4,1510.89,1502.81,1504.93,1501.05,1496.36,1488.58,1478.23,1499.16,1523.87,1521.32,1532.32,1535.67,1518.08,1555.83,1559.7,1568.6,1587.7,1594.13,1605.68,1604.99,1640.8,1647.31,1664.6,1683.8,1677.14,1673.96,1671.14,1657.94,1671.61,1695.02,1725.17,1746.87,1760.22,1805.98,1812.1,1814.31,1805.33,1811.84,1827.63,1837.68,1867.11,1886.79,1936.1,1917.6,1981.96,1973.19,2011.82,2042.79,2132.17,2192.09,2268.59,2317.65,2351.06,2412.89,2453.88,2500.83,2561.53,2593.06,2593.16,2592.03,2591.35,2599.36,2607.37,2615.39,2629.43,2644.15,2681.51,2729.21,2715.19,2771.35,2826.52,2856.49,2900.94,2917.34,2937.85,2969.01,3006.72,3042.12,3136.33,3274.72,3320.51,3352.79,3403.53,3478.7,3531.03,3601.39,3659.04,3709.89,3755.28,3805.07,3849.89,3899.34,3927.96,3955.89,3935.46,3921.08,3922.72,3879.1,3862.8,3853.45,3854.23,3827.44,3770.16,3726.77,3683.39,3640,3596.85,3553.69,3513.48,3473.26,3443.94,3438.65,3433.31,3447.82,3461.24,3473.53,3489.17,3494.12,3511.89,3518.45,3515.34,3488.74,3473.21,3557.92,3611.5,3615.37,3629.09,3629.09
사당동,동작구,1517.6,1526.49,1552.49,1568.77,1573.28,1560.98,1564.53,1539.42,1524.42,1495.39,1470.36,1443.61,1412.57,1429.36,1420.64,1448.88,1468.12,1483.15,1500.73,1532.62,1530.49,1524.96,1515.13,1501.11,1499.56,1479.87,1462.25,1453.58,1440.09,1427.32,1415.68,1416.32,1418.62,1431.18,1441.76,1444.21,1478.84,1458.4,1458.01,1447.27,1451.33,1455.9,1441.3,1449.59,1448.82,1456.68,1446.39,1428.25,1422.97,1426.67,1420.91,1406.71,1396.39,1394.18,1381.91,1380.57,1376.64,1389.65,1378.52,1375.58,1374.65,1371.57,1377.64,1375.45,1375.18,1370.31,1371.83,1383.61,1393.52,1391.23,1393.51,1396.45,1398.22,1425.71,1425.94,1429.27,1429,1427.76,1429.58,1450.68,1450.93,1463.69,1453.86,1458.05,1473.14,1483.26,1495.2,1511.83,1525.11,1563.49,1563.46,1574.29,1580.91,1597.81,1599.17,1613,1612.94,1608.24,1607.99,1623.94,1634.91,1658.47,1676.26,1689.45,1706.13,1733.66,1729.63,1722.55,1725.78,1739.04,1755.57,1778.72,1805.13,1855.95,1891.42,1916.1,1927.63,1955.1,1971.05,1990.95,2063.46,2136.39,2192.16,2229.86,2265.15,2275.53,2345.16,2408.86,2539.13,2546.15,2537.31,2524.2,2520.08,2508.74,2513.34,2518.24,2532.43,2555.55,2607.65,2652.75,2698.61,2742.09,2786.01,2832.64,2871.91,2912.15,2946.06,2939.08,2953.11,2992.45,3083.41,3160.55,3219,3269.42,3320.66,3381.1,3478.73,3530.97,3588.11,3612.95,3685.67,3711.88,3738.41,3769.59,3775.81,3762.89,3736.21,3714.21,3696.22,3680.9,3660.71,3637.96,3609.97,3579.05,3526.65,3474.32,3422.08,3384.35,3347.47,3314.28,3285.55,3268.32,3238.59,3254.3,3260.33,3264.7,3287.89,3285.97,3270.2,3264.02,3254.81,3243.13,3236.26,3235.92,3251.03,3259.55,3264.64,3324,3350.61,3350.61
상도1동,동작구,975.7,981.2,990.93,998.58,1002.01,1006.35,1012.9,1015.7,1017.68,1019.65,1021.62,1023.59,1024.93,1026.91,1028.65,1030.62,1032.64,1034.67,1038.42,1040.48,1041.89,1043.29,1044.7,1046.1,1047.58,1048.29,1049,1050.03,1051.06,1052.09,1053.12,1054.15,1055.18,1056.2,1057.23,1058.26,1059.29,1060.32,1061.35,1062.39,1063.36,1064.33,1065.3,1066.65,1068.05,1070.43,1072.79,1075.14,1077.35,1079.69,1082.03,1084.36,1086.7,1089.02,1091.45,1093.89,1096.32,1098.73,1101.14,1103.55,1105.96,1107.72,1109.48,1111.23,1112.98,1114.52,1116.06,1117.61,1119.15,1120.69,1122.23,1123.75,1125.52,1127.27,1129.03,1130.78,1132.53,1134.45,1136.37,1138.37,1140.27,1142.18,1144.73,1146.68,1148.63,1150.75,1152.3,1155.53,1158.89,1160.51,1163.5,1165.86,1172,1174.99,1177.28,1179.57,1181.82,1184.08,1186.41,1188.87,1191.31,1193.74,1196.16,1198.66,1201.15,1203.27,1205.4,1207.53,1209.61,1211.69,1213.77,1217.52,1221.23,1224.95,1227.62,1230.49,1233.36,1236.3,1242.18,1245.21,1248.94,1251.95,1254.97,1257.97,1260.92,1263.74,1267.22,1268.24,1271.12,1273.14,1275.16,1277.18,1279.2,1281.22,1283.24,1285.26,1287.27,1290.76,1292.24,1293.52,1294.8,1296.17,1297.55,1300.26,1302.94,1305.55,1308.15,1310.76,1313.37,1316.42,1319.48,1324.84,1327.83,1330.82,1333.31,1335.8,1338.29,1340.78,1343.27,1345.69,1347.95,1348.49,1349.04,1351.36,1353.67,1355.99,1358.3,1360.56,1362.79,1364.48,1366.17,1367.23,1368,1368.77,1369.53,1370.3,1371.07,1371.83,1372.6,1373.37,1374.14,1374.9,1375.67,1376.44,1377.2,1377.97,1378.41,1378.85,1379.29,1379.74,1380.17,1380.56,1380.95,1381.34,1381.73,1382.12,1382.32,1382.52,1382.72,1382.72
상도동,동작구,1519.53,1531.43,1547.34,1570.18,1570.18,1589.96,1560.39,1536.9,1504.47,1474.16,1444.36,1429.25,1444.48,1440.88,1449.76,1465.36,1484.65,1491.37,1510.64,1537.5,1548.59,1539.43,1523.93,1523.05,1520.72,1526.56,1524.09,1519.81,1491.44,1464.11,1488.69,1467.28,1489.58,1496.83,1518.06,1516.68,1538.73,1570.55,1579.6,1562.09,1560.61,1548.3,1546.36,1545.92,1542.1,1536.58,1524.66,1548.79,1523.71,1511.26,1504.57,1489.82,1505.74,1479.95,1468.79,1476.26,1482.42,1491.38,1463.03,1478.08,1484.64,1466.49,1461.83,1483.42,1480.44,1451.4,1459.43,1477.99,1497.63,1503.67,1500.47,1506.32,1504.7,1520.09,1524.43,1528.3,1530.37,1525.58,1528.39,1533.55,1534.46,1537.86,1535.14,1541.65,1541.84,1553.09,1570.91,1585.85,1593.52,1603.06,1616.39,1618.99,1629.14,1633.7,1630.21,1627.86,1644.52,1650.83,1656.43,1684.43,1693.11,1706.25,1722.53,1730.32,1740.17,1756.15,1750.63,1761.13,1773.43,1777.91,1789.97,1801.08,1833.25,1864.89,1900.51,1927.82,1938.71,1974.04,1998.31,2034.79,2076.17,2136.25,2202.15,2253.02,2277.2,2324.26,2361.01,2438.16,2499.56,2505.77,2521.34,2502.99,2535.42,2543.82,2516.41,2518.94,2542.23,2555.33,2608.01,2642.6,2692.53,2749.27,2800.76,2861.12,2899.88,2924.59,2947.08,2958.75,2973.95,3038.94,3127.26,3169.41,3224.65,3272.6,3309.4,3367.17,3432.3,3449.2,3471.75,3467.41,3531.1,3587.92,3620,3657.47,3698.72,3709.41,3701.08,3681.23,3670.31,3662.18,3650.62,3640.71,3611.4,3587.48,3535.18,3467.63,3399.49,3347.54,3309.99,3273.25,3242.48,3217.68,3213,3257.02,3239.02,3272.06,3305.06,3325.64,3332.56,3324.61,3320.87,3335.89,3346.04,3355.02,3358.7,3382.87,3397.56,3401.77,3460.6,3460.6
신대방동,동작구,1353.51,1357.87,1373.25,1377.76,1390.94,1399.77,1397.32,1392.59,1382.49,1372.79,1365.94,1351.33,1327.81,1331.86,1334.51,1349.71,1373.2,1371.48,1376.15,1395.31,1405,1400.14,1384.05,1385.94,1384.87,1380.9,1373.45,1349.12,1346.21,1342.82,1338.08,1352.25,1334.24,1348.01,1352.56,1355.48,1360.9,1372.96,1362.86,1367.48,1378.28,1372.72,1366.91,1369.52,1357.61,1352.82,1348.24,1347.59,1348.86,1347.33,1339.44,1335.05,1334.46,1323,1324.05,1317.3,1312.91,1304.19,1298.84,1289.37,1279.84,1280.48,1285.32,1293.35,1295.99,1283.82,1286.54,1291.84,1295.39,1299.64,1303.84,1294.87,1305.63,1308.06,1324.75,1326.13,1320.69,1330.15,1331.26,1338.77,1338.36,1331.72,1331.45,1336.61,1336.55,1345.9,1350.55,1358.41,1366.1,1365.22,1385.85,1399.01,1400.23,1415.35,1419.81,1424.36,1424.26,1431.34,1428,1426.26,1438.23,1455.05,1470.11,1496.16,1498.04,1524.14,1523.7,1517.87,1523.58,1531.87,1541.49,1542,1556.09,1567.1,1591.58,1604.39,1603.74,1641.01,1651.74,1678.32,1696.2,1716.87,1737.7,1766.25,1800.67,1832.1,1839.18,1880.18,1924.93,1963.86,1943.57,1935.4,1928.63,1936.77,1955.17,1976.1,1989.1,2007.61,2033.46,2049.15,2077.31,2129.66,2159.07,2186.88,2211.07,2250.24,2276.89,2290.46,2303.75,2358.65,2420.46,2477.76,2539.11,2584.08,2618.41,2676.28,2707.31,2764.45,2795,2827.69,2851.17,2877.77,2915.97,2947.62,2981.59,2988.31,2985.83,2968.1,2948.6,2929.26,2908.84,2889.59,2897.27,2868.8,2838.4,2808.15,2775.93,2743.71,2718.91,2694.11,2671.19,2665.76,2677.73,2712.84,2718.28,2717.3,2750.8,2735.95,2746.73,2741.02,2740.11,2734.19,2737.65,2751.74,2767.52,2758.67,2749.35,2810.24,2777.01,2777.01
흑석동,동작구,1783.78,1779.58,1782.61,1783.03,1784.4,1795.15,1785.66,1776.17,1765.5,1748.47,1733.26,1718.06,1702.85,1709.32,1721.95,1730.95,1691.33,1735.68,1740.53,1792.25,1789.86,1780.07,1773.45,1762.37,1782.34,1773.23,1839.75,1827.51,1811.2,1805.23,1799.62,1794.53,1776.46,1756.88,1749.1,1776.83,1797.7,1793,1809.66,1805.02,1785.52,1774.94,1762.38,1761.01,1779.37,1792.7,1818.89,1788.78,1761.11,1738.66,1713.11,1708.07,1696.9,1704,1671.14,1652.81,1644.67,1633.42,1633.22,1639.54,1654.02,1666.75,1677.59,1679.35,1692.85,1686.42,1690.29,1691.5,1698.29,1701.95,1710.82,1703.12,1722.1,1740.75,1752.01,1751.87,1740.09,1742.13,1753.22,1759.36,1760.17,1787.72,1786.77,1790.53,1791.9,1805.51,1826.04,1835.43,1839.03,1840.46,1844.16,1867.15,1871.02,1875.87,1891.71,1892.17,1889.75,1894.19,1890.02,1903.48,1903.55,1924.57,1981.68,2054.23,2168.1,2217.7,2227.86,2212.27,2204.66,2211.84,2226.74,2264.75,2332.95,2383.88,2433.28,2482.04,2555.63,2605.09,2649.72,2708.62,2778.38,2864.18,2955.02,3001.74,3072.57,3091.19,3149.73,3242.24,3352.13,3364.65,3366.81,3363.61,3359.96,3354.81,3349.66,3356.44,3365.13,3405.02,3464.78,3557.16,3590.52,3639.1,3696.88,3770.55,3802.94,3822.94,3834.47,3846.44,3858.4,3953.92,4042.92,4143.42,4234.35,4280.99,4324.66,4373.74,4495.67,4593.21,4644.91,4707.19,4770.18,4829.52,4889.29,4961.44,4979.1,4992.72,5001.55,4982.11,4975.09,4968.34,4930.26,4909.26,4874.44,4807.84,4728.08,4653.15,4605.63,4547.43,4489.23,4365.1,4370.09,4283.8,4378.89,4351.78,4383.53,4418.56,4465.13,4484.63,4497.31,4495.8,4453.21,4472.11,4496.58,4512.43,4542.04,4516.04,4565.67,4635.84,4666.22,4666.22
공덕동,마포구,1810.13,1827.68,1830.21,1808.93,1821.17,1832.97,1810.1,1798.36,1769.81,1737.79,1702.31,1667.42,1619.84,1665.89,1680.65,1685.97,1706.51,1716.85,1776.76,1800.64,1816.28,1801.51,1784.62,1770.84,1774.67,1796.06,1769.06,1736.45,1733.34,1735.94,1711.32,1685.63,1695.68,1695.52,1716.4,1729.91,1732.17,1753.74,1742.34,1747.96,1752.16,1760.14,1753.55,1770.02,1765.3,1749.53,1767.83,1749.18,1758.58,1753.64,1745.42,1734,1721.33,1717.23,1707.34,1698.97,1692.07,1681.04,1673.69,1662.44,1665.35,1690.37,1684.68,1688.64,1676.42,1673.62,1670.54,1683.62,1675.54,1670.36,1680.92,1678.83,1701.77,1714.28,1704.18,1702.37,1704.03,1699.03,1693.68,1690.89,1693.49,1697.58,1705.65,1708.45,1703.45,1709.51,1732.8,1749.35,1757.19,1783.38,1818.97,1822.2,1868.54,1877.31,1890.96,1889.74,1887.66,1885.68,1893.05,1918.69,1924.61,1943.18,1954.81,1982.85,2002.39,2018.33,2047.24,2028.91,2027.02,2046.51,2064.41,2077.42,2120.94,2193.85,2245.82,2303.29,2317.44,2377.38,2402.86,2458.95,2526.77,2624.39,2690.49,2749.46,2779.64,2824.51,2877.63,2962.92,3041.3,3076.88,3064.66,3066.09,3066.45,3059.17,3052.2,3054.07,3061.67,3093.34,3207.36,3308.16,3343.19,3392.89,3484.51,3570.28,3628.05,3694.42,3690.37,3698.41,3727.92,3749.43,3840.77,3890.22,3944.53,3989.67,4035.34,4155.44,4176.73,4225.27,4270.13,4311.44,4363.51,4400.15,4448.88,4472.95,4502.77,4567.53,4561.39,4531.99,4500.66,4474.19,4447.54,4397.41,4345.51,4313.5,4235.17,4176.26,4115.7,4045.22,3916.18,3952.68,3875.15,3913.95,3956.29,4014.47,4047.86,4093.75,4125.82,4154.61,4148.16,4133.83,4146.92,4126.46,4131.79,4139.21,4153.68,4195.14,4223.42,4300.58,4325.25,4325.25
구수동,마포구,1051.69,1054.47,1057.25,1060.03,1062.78,1065.56,1068.34,1071.13,1073.88,1076.66,1079.44,1082.22,1085,1087.75,1090.53,1093.31,1096.09,1098.88,1101.63,1104.41,1107.19,1109.97,1112.72,1115.5,1118.28,1121.06,1123.84,1126.59,1129.38,1132.16,1134.94,1137.72,1140.47,1143.25,1146.03,1148.81,1151.56,1154.34,1157.13,1159.91,1162.69,1165.44,1168.22,1171,1173.78,1176.56,1179.31,1182.09,1184.88,1187.66,1190.41,1193.19,1195.97,1198.75,1201.53,1204.28,1207.06,1209.84,1212.63,1215.41,1218.16,1220.94,1223.72,1226.5,1229.25,1232.03,1234.81,1237.59,1240.38,1243.13,1245.91,1248.69,1251.47,1254.25,1257,1259.78,1262.56,1265.34,1268.09,1270.88,1273.66,1276.44,1279.22,1281.97,1284.75,1287.53,1290.31,1293.09,1295.84,1298.63,1301.41,1304.19,1306.94,1309.72,1312.5,1312.5,1312.5,1312.5,1312.5,1312.5,1312.5,1312.5,1312.5,1312.5,1312.5,1312.5,1312.5,1312.5,1312.5,1312.5,1312.5,1312.5,1494.74,1516.21,1537.71,1559.18,1580.67,1602.15,1623.62,1645.12,1666.59,1688.08,1709.56,1731.03,1752.53,1774,1795.49,1816.97,1838.46,1859.94,1881.41,1902.91,1924.38,1945.87,1967.35,1988.82,2010.32,2031.79,2053.28,2074.76,2096.23,2117.73,2139.2,2160.69,2182.17,2203.64,2225.14,2246.61,2268.11,2289.58,2311.07,2332.55,2354.02,2375.52,2396.99,2418.48,2439.96,2461.43,2482.93,2504.4,2525.89,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37,2547.37
노고산동,마포구,1101.2,1100.09,1163.52,1127.07,1206.71,1241.57,1191.32,1273.45,1284.67,1230.81,1174.96,1218.57,1176.79,1203.18,1194.08,1215.89,1300.98,1315.6,1334.09,1347.92,1295.15,1425.9,1412.78,1418.86,1466.72,1478.61,1503.64,1513.19,1513.28,1528.12,1521.97,1524.54,1527.07,1531.2,1561.33,1571.78,1596.86,1584.79,1570,1674.12,1663.74,1713.78,1699.57,1739.9,1717.14,1694.36,1711.82,1709.31,1722.08,1725.22,1704.08,1697.1,1685.21,1672.82,1660.38,1684.4,1671.26,1701.47,1706.91,1710.25,1688.8,1703.51,1694.7,1685.9,1693.6,1703.06,1712.54,1702.4,1731.65,1756.69,1765.85,1754.81,1744.51,1740.9,1723.89,1706.88,1677.24,1689.73,1702.2,1740.88,1800.92,1735.66,1781.39,1766.34,1797.53,1787.72,1777.92,1882.65,1890.15,1901.53,1887.54,1960.22,1967.03,1959.3,1954.3,1970.78,1969.3,1979.8,1990.3,1995.11,1999.91,1993.03,2006.93,2016.64,2026.36,2036.12,2045.85,2055.57,2051.53,2078.02,2106.12,2064.98,2089.86,2114.9,2126.48,2125.54,2122.56,2119.57,2116.57,2122.43,2102.08,2129.24,2197.61,2131.32,2156.01,2180.68,2189.01,2198.85,2208.2,2227.81,2232.4,2233.92,2235.42,2236.68,2227.67,2230.97,2234.27,2237.57,2240.87,2243.66,2264.45,2283.92,2257.06,2293.4,2301.18,2306.73,2284.34,2245.14,2196.59,2200.52,2204.45,2163.87,2182.65,2198.67,2215.59,2156.36,2121.68,2107.17,2092.66,2079.81,2066.62,1984.88,2088.63,2023.01,2030.71,2039.38,2013.74,1982.21,2059.6,2076.51,1973.33,2017.71,2065.96,2048.2,2032.47,2016.78,1995.1,2026.36,2034.77,2043.18,2049.49,2051.77,2054.44,2057.1,2059.83,2091.57,2123.3,2112.13,2104.04,2090.99,2077.9,2064.84,2050,2035.2,2020.36,2114.17,2113.16,2112.18,2113.22,2113.22
대흥동,마포구,1533.5,1549.36,1550.37,1577.07,1606.11,1589.63,1534.15,1541.52,1549.29,1516.72,1458.82,1400.91,1386.74,1417.98,1428.55,1463.15,1486.86,1483.51,1514.24,1525.24,1546.69,1583.89,1521.69,1465.89,1583.85,1537.97,1535.83,1524.39,1511.4,1498.41,1499.17,1504.32,1507.3,1478.49,1506.68,1517.75,1547.55,1553.24,1555.55,1516.16,1473.6,1485.15,1502.87,1439.21,1460.25,1481.28,1493.28,1472.87,1459.86,1461.1,1452.56,1460.24,1446.38,1457.52,1437.41,1428.73,1411.89,1403.28,1391.9,1381.75,1373.06,1380.98,1393.25,1405.69,1411.68,1397.18,1412.96,1438.63,1431.13,1420.96,1424.43,1421.7,1424.09,1447.64,1571.27,1584.77,1558.02,1553.15,1593.39,1600.3,1629.41,1610.52,1624.86,1625.17,1655.08,1657.45,1673.79,1686.63,1731.09,1736.94,1769.25,1775.61,1768.51,1773.92,1800.32,1716.94,1808.48,1810.3,1800.55,1813.71,1847.3,1985.52,2017.67,2046.08,2081.06,2116.34,2133.15,2129.12,2108.19,2106.69,2141.93,2165.24,2219.35,2267.84,2334.08,2377.47,2390.79,2427.8,2445.19,2502.66,2609.77,2719.02,2852.67,2896.45,2948.58,2968.88,3036.21,3106.26,3180.84,3167.34,3152.75,3137.01,3136.48,3152.74,3168.65,3247.31,3251.52,3312.42,3345.53,3558.34,3626.81,3735.76,3821.28,3928.93,3977.26,4018.02,3948.98,3935.9,3985.61,4054.11,4277.15,4330.42,4369.38,4420.3,4476.5,4567.69,4708.19,4730.66,4720.62,4706.04,4707.97,4753.49,4761.87,4874.58,4935.14,4969.37,4991.3,4999.8,5004.66,4985.08,4965.51,4927.31,4852.64,4791.09,4680.27,4593.47,4479.4,4386.04,4293.79,4232.98,4172.18,4152.8,4128.12,4247,4308.3,4362.42,4467.88,4481.76,4505.25,4518.84,4422.49,4330.23,4463.08,4480.06,4452.97,4597.28,4649.02,4747.03,4761.08,4761.08
